,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hosanagara,13.9167,75.0667,60.24,40,1,3.96,IN,1673472117
1,albany,42.6001,-73.9662,30.94,65,100,3.2,US,1673472108
2,rikitea,-23.1203,-134.9692,78.48,77,20,17.72,PF,1673472118
3,port alfred,-33.5906,26.891,73.18,95,52,1.01,ZA,1673472118
4,collie,-33.3667,116.15,53.06,95,2,3.89,AU,1673472119
5,esperance,-33.8667,121.9,63.54,87,0,9.44,AU,1673472119
6,barrow,71.2906,-156.7887,-9.38,70,0,27.63,US,1673471903
7,westport,41.1415,-73.3579,38.62,61,0,5.75,US,1673472083
8,xingyi,24.1877,102.817,42.82,90,0,4.14,CN,1673472120
9,yaan,7.3833,8.5667,79.29,18,35,5.17,NG,1673472120
10,jamestown,42.097,-79.2353,43.02,48,20,8.99,US,1673471859
11,kalmunai,7.4167,81.8167,71.69,79,16,8.77,LK,1673472121
12,hermanus,-34.4187,19.2345,69.8,81,96,10.8,ZA,1673472121
13,sarangani,5.4033,125.4636,80.92,79,100,19.26,PH,1673471603
14,buraydah,26.326,43.975,50.45,59,0,7.7,SA,1673472122
15,clyde river,70.4692,-68.5914,5.23,66,100,23.02,CA,1673472122
16,ushuaia,-54.8,-68.3,53.26,66,75,21.85,AR,1673471929
17,bluff,-46.6,168.3333,55.24,65,75,8.46,NZ,1673472123
18,bathsheba,13.2167,-59.5167,81.21,74,40,13.8,BB,1673472124
19,chuy,-33.6971,-53.4616,78.6,68,44,11.03,UY,1673472124
20,faya,18.3851,42.4509,54.12,81,14,3.0,SA,1673472124
21,punta arenas,-53.15,-70.9167,60.12,47,0,23.02,CL,1673472125
22,pisco,-13.7,-76.2167,74.01,73,0,9.22,PE,1673472125
23,krasnyy klyuch,55.3863,56.6529,-14.15,99,100,6.55,RU,1673472126
24,rigaud,45.4793,-74.3024,17.78,86,100,11.25,CA,1673472126
25,mahebourg,-20.4081,57.7,77.29,83,40,11.5,MU,1673472127
26,ostrovnoy,68.0531,39.5131,8.28,94,97,13.44,RU,1673472127
27,cabo san lucas,22.8909,-109.9124,82.62,41,0,8.05,MX,1673472127
28,aykhal,66.0,111.5,-44.64,98,100,5.93,RU,1673472128
29,broome,42.2506,-75.833,40.69,73,20,5.75,US,1673472128
30,marbella,36.5154,-4.8858,58.42,73,41,8.46,ES,1673472129
31,deming,32.2687,-107.7586,60.69,27,0,19.57,US,1673472129
32,balykshi,47.0667,51.8667,5.0,61,0,15.66,KZ,1673472130
33,klaksvik,62.2266,-6.589,38.32,70,100,14.05,FO,1673472130
34,westerland,54.9079,8.3033,44.94,87,100,19.57,DE,1673472131
35,umm kaddadah,13.6017,26.6876,60.64,31,60,14.5,SD,1673472131
36,wonthaggi,-38.6044,145.5913,64.81,82,51,4.59,AU,1673472132
37,kavaratti,10.5669,72.642,79.57,61,78,5.64,IN,1673472132
38,nancha,47.1333,129.2667,6.12,100,95,1.59,CN,1673472132
39,yarim,14.298,44.3779,51.1,51,0,3.87,YE,1673472133
40,provideniya,64.3833,-173.3,8.71,72,75,11.18,RU,1673472133
41,finschhafen,-6.6024,147.8681,79.48,81,100,5.93,PG,1673472134
42,igarka,67.4667,86.5833,-28.77,98,100,4.59,RU,1673472134
43,busselton,-33.65,115.3333,58.19,91,14,6.85,AU,1673472135
44,chokurdakh,70.6333,147.9167,-25.22,96,100,3.15,RU,1673472135
45,sitka,57.0531,-135.33,42.69,81,100,6.91,US,1673472136
46,longyearbyen,78.2186,15.6401,22.84,86,75,4.61,SJ,1673472136
47,carnarvon,-24.8667,113.6333,73.09,66,0,16.67,AU,1673472136
48,chaman,30.9236,66.4512,31.3,66,13,6.98,PK,1673472137
49,talcahuano,-36.7167,-73.1167,67.68,45,0,20.71,CL,1673472137
50,bonito,-21.1211,-56.4819,73.96,90,91,9.86,BR,1673472138
51,qaanaaq,77.484,-69.3632,-7.55,95,100,6.06,GL,1673472138
52,asamankese,5.8601,-0.6635,76.03,81,14,3.38,GH,1673472139
53,atuona,-9.8,-139.0333,78.08,74,14,11.95,PF,1673472139
54,ribeira grande,38.5167,-28.7,63.0,94,75,18.99,PT,1673472140
55,khatanga,71.9667,102.5,-42.61,100,96,5.86,RU,1673472140
56,matam,15.6175,-13.3303,78.57,12,3,10.42,SN,1673472141
57,georgetown,5.4112,100.3354,78.73,93,20,3.44,MY,1673471894
58,kapaa,22.0752,-159.319,79.12,69,75,18.41,US,1673472142
59,codrington,-38.2667,141.9667,62.65,87,43,6.76,AU,1673471604
60,sakakah,29.9697,40.2064,45.97,62,0,7.11,SA,1673472142
61,yellowknife,62.456,-114.3525,7.32,85,100,9.22,CA,1673471999
62,new norfolk,-42.7826,147.0587,62.71,67,13,1.01,AU,1673472143
63,slatyne,50.2242,36.1608,15.06,69,73,13.58,UA,1673472143
64,tura,25.5198,90.2201,56.03,67,0,3.15,IN,1673472109
65,cidreira,-30.1811,-50.2056,76.91,80,0,14.2,BR,1673472144
66,brus laguna,15.75,-84.4833,78.06,82,54,4.99,HN,1673472144
67,havre-saint-pierre,50.2334,-63.5986,14.0,60,75,12.66,CA,1673472145
68,lebu,-37.6167,-73.65,59.05,70,0,23.85,CL,1673472145
69,torbay,47.6666,-52.7314,23.58,86,75,10.36,CA,1673472146
70,jacareacanga,-6.2222,-57.7528,82.65,75,76,4.74,BR,1673472146
71,shingu,33.7333,135.9833,41.34,53,0,6.04,JP,1673472146
72,gomel,52.4345,30.9754,25.84,50,0,13.42,BY,1673472147
73,saldanha,-33.0117,17.9442,66.25,88,73,10.07,ZA,1673472147
74,auki,-8.7676,160.7034,80.69,78,100,3.65,SB,1673472148
75,butaritari,3.0707,172.7902,81.41,78,44,17.47,KI,1673472148
76,hobart,-42.8794,147.3294,63.05,84,20,6.91,AU,1673472050
77,ahipara,-35.1667,173.1667,68.65,76,59,9.42,NZ,1673472149
78,bredasdorp,-34.5322,20.0403,69.08,84,100,8.81,ZA,1673472149
79,vilyuysk,63.7553,121.6247,-37.14,87,85,7.49,RU,1673472150
80,husavik,66.0449,-17.3389,30.69,94,100,12.12,IS,1673471628
81,saint george,37.1041,-113.5841,53.44,57,0,3.44,US,1673472061
82,aklavik,68.2191,-135.0107,-11.2,84,75,3.44,CA,1673472150
83,mayo,38.8876,-76.5119,46.13,71,75,5.75,US,1673472151
84,costinesti,43.95,28.6333,40.24,88,100,19.08,RO,1673472151
85,ariogala,55.2667,23.4667,36.66,89,100,16.04,LT,1673472152
